Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
511,Bryan Edwards,ATL,24,WR,7,1,5,3,15,5,0,0,10,0.4,2.1,60.00%,3,,,0,0,,,,,3,5,15,0,,EdwaBr01
512,Ihmir Smith-Marsette,2TM,23,,8,0,4,1,15,15,0,0,15,0.1,1.9,25.00%,3.8,1,-1,0,0,0,-1,-0.1,0.1,2,7,14,0,1,SmitIh00
513,Nsimba Webster,CHI,26,WR,2,0,3,2,14,7,0,1,8,1,7,66.70%,4.7,,,0,0,,,,,2,7,14,0,1,WebsNs00
514,Kyle Allen,HOU,26,QB,2,2,,,,,0,0,,,,,,6,13,0,2,5,2.2,6.5,3,6,2.2,13,0,4,AlleKy00
515,Deonte Harty,NOR,25,WR,4,0,2,2,13,6.5,0,0,9,0.5,3.3,100.00%,6.5,,,0,0,,,,,2,6.5,13,0,1,HarrDe07
516,Ty Montgomery,NWE,29,WR,1,0,4,3,15,5,1,1,7,3,15,75.00%,3.8,2,-2,0,0,0,-1,-2,2,5,2.6,13,1,,MontTy01
517,Brock Purdy,SFO,23,QB,9,5,,,,,0,0,,,,,,22,13,1,5,13,0.6,1.4,2.4,22,0.6,13,1,,PurdBr00
518,Austin Trammell,LAR,24,WR,6,0,4,2,13,6.5,0,1,8,0.3,2.2,50.00%,3.3,,,0,0,,,,,2,6.5,13,0,,TramAu00
519,Jerome Ford,CLE,23,RB,13,0,,,,,0,0,,,,,,8,12,0,1,9,1.5,0.9,0.6,8,1.5,12,0,,FordJe00
520,Jake Gervase,LAR,27,LB,14,0,1,1,12,12,0,1,12,0.1,0.9,100.00%,12,,,0,0,,,,,1,12,12,0,,GervJa00
521,Jalen Tolbert,DAL,23,WR,8,1,3,2,12,6,0,0,8,0.3,1.5,66.70%,4,,,0,0,,,,,2,6,12,0,,TolbJa00
522,Miles Boykin,PIT,26,WR,16,1,3,2,11,5.5,0,1,11,0.1,0.7,66.70%,3.7,,,0,0,,,,,2,5.5,11,0,,BoykMi00
523,Sean McKeon,DAL,25,TE,13,0,3,2,11,5.5,0,1,10,0.2,0.8,66.70%,3.7,,,0,0,,,,,2,5.5,11,0,,McKeSe01
524,Jakob Johnson,LVR,28,FB,17,9,6,5,10,2,0,0,5,0.3,0.6,83.30%,1.7,,,0,0,,,,,5,2,10,0,,JohnJa12
525,Keith Smith,ATL,30,FB,17,6,2,1,8,8,0,0,8,0.1,0.5,50.00%,4,1,2,0,1,2,2,0.1,0.1,2,5,10,0,,SmitKe03
526,Stephen Anderson,ARI,29,TE,16,0,7,3,9,3,0,0,6,0.2,0.6,42.90%,1.3,,,0,0,,,,,3,3,9,0,,AndeSt01
527,Jason Cabinda,DET,26,FB,8,2,4,1,5,5,0,1,5,0.1,0.6,25.00%,1.3,1,4,0,1,4,4,0.5,0.1,2,4.5,9,0,,CabiJa00
528,Penei Sewell,DET,22,T,17,17,1,1,9,9,0,1,9,0.1,0.5,100.00%,9,,,0,0,,,,,1,9,9,0,,SewePe00
529,Matthew Stafford,LAR,34,QB,9,9,,,,,0,0,,,,,,13,9,1,3,4,0.7,1,1.4,13,0.7,9,1,5,StafMa00
530,Mike White,NYJ,27,QB,4,4,,,,,0,0,,,,,,6,9,1,3,4,1.5,2.3,1.5,6,1.5,9,1,2,WhitMi01
531,Reggie Bonnafon,WAS,26,RB,1,0,,,,,0,0,,,,,,3,8,0,0,5,2.7,8,3,3,2.7,8,0,,BonnRe00
532,Nick Foles,IND,33,QB,3,2,,,,,0,0,,,,,,2,8,0,0,8,4,2.7,0.7,2,4,8,0,,FoleNi00
533,Tyron Johnson,2TM,26,WR,4,1,1,1,8,8,0,0,8,0.3,2,100.00%,8,,,0,0,,,,,1,8,8,0,,JohnTy03
534,Nick Mullens,MIN,27,QB,4,0,,,,,0,0,,,,,,4,8,0,1,4,2,2,1,4,2,8,0,,MullNi00
535,Jeremy Ruckert,NYJ,22,TE,9,0,2,1,8,8,0,0,8,0.1,0.9,50.00%,4,,,0,0,,,,,1,8,8,0,,RuckJe00
536,Trevor Siemian,CHI,31,QB,2,1,,,,,0,0,,,,,,4,8,0,1,6,2,4,2,4,2,8,0,,SiemTr00
537,Maurice Alexander,DET,25,WR,4,0,1,1,7,7,0,0,7,0.3,1.8,100.00%,7,,,0,0,,,,,1,7,7,0,,AlexMa02
538,Jalen Camp,HOU,24,WR,2,0,1,1,7,7,0,1,7,0.5,3.5,100.00%,7,,,0,0,,,,,1,7,7,0,,CampJa03
539,Kylin Hill,GNB,24,RB,2,0,,,,,0,0,,,,,,1,7,0,1,7,7,3.5,0.5,1,7,7,0,,HillKy00
540,Godwin Igwebuike,SEA,28,RB,5,0,1,1,3,3,0,0,3,0.2,0.6,100.00%,3,3,4,0,0,4,1.3,0.8,0.6,4,1.8,7,0,,IgweGo00
541,Tyler Mabry,SEA,26,TE,2,0,1,1,7,7,1,1,7,0.5,3.5,100.00%,7,,,0,0,,,,,1,7,7,1,,MabrTy00
542,Devine Ozigbo,DEN,26,RB,4,0,1,1,3,3,0,0,3,0.3,0.8,100.00%,3,3,4,0,0,4,1.3,1,0.8,4,1.8,7,0,,OzigDe01
543,Nathan Peterman,CHI,28,QB,3,1,,,,,0,0,,,,,,2,7,0,0,6,3.5,2.3,0.7,2,3.5,7,0,,PeteNa00
544,Brett Rypien,DEN,26,QB,4,2,,,,,0,0,,,,,,6,7,0,2,6,1.2,1.8,1.5,6,1.2,7,0,4,RypiBr00
545,Tommy Sweeney,BUF,27,TE,5,0,1,1,7,7,0,1,7,0.2,1.4,100.00%,7,,,0,0,,,,,1,7,7,0,,SweeTo00
546,C.J. Board,TEN,29,WR,4,0,1,1,6,6,0,0,6,0.3,1.5,100.00%,6,,,0,0,,,,,1,6,6,0,1,BoarC.00
547,Jacob Harris,LAR,25,WR,7,0,1,1,6,6,0,1,6,0.1,0.9,100.00%,6,,,0,0,,,,,1,6,6,0,,HarrJa03
548,Cooper Rush,DAL,29,QB,9,5,,,,,0,0,,,,,,9,6,0,1,6,0.7,0.7,1,9,0.7,6,0,2,RushCo00
549,Mason Schreck,HOU,29,TE,3,1,2,2,6,3,0,0,6,0.7,2,100.00%,3,,,0,0,,,,,2,3,6,0,,SchrMa00
550,Devin Asiasi,CIN,25,TE,12,0,4,2,5,2.5,0,0,6,0.2,0.4,50.00%,1.3,,,0,0,,,,,2,2.5,5,0,,AsiaDe00
551,David Blough,ARI,27,QB,2,2,,,,,0,0,,,,,,4,5,0,0,4,1.3,2.5,2,4,1.3,5,0,1,BlouDa00
552,Jason Moore,LAC,27,WR,6,0,2,1,5,5,0,0,5,0.2,0.8,50.00%,2.5,,,0,0,,,,,1,5,5,0,,MoorJa02
553,Ty'Son Williams,ARI,26,RB,1,0,1,1,5,5,0,0,5,1,5,100.00%,5,,,0,0,,,,,1,5,5,0,,WillTy01
554,Marcus Allen,PIT,26,LB,15,0,,,,,0,0,,,,,,1,4,0,1,4,4,0.3,0.1,1,4,4,0,,AlleMa03
555,Chase Daniel,LAC,36,QB,4,0,,,,,0,0,,,,,,1,4,0,0,4,4,1,0.3,1,4,4,0,,DaniCh00
556,Demetric Felton,CLE,24,RB,8,2,4,2,8,4,0,0,5,0.3,1,50.00%,2,1,-4,0,0,-4,-4,-0.5,0.1,3,1.3,4,0,1,FeltDe00
557,Kamu Grugier-Hill,2TM,28,LB/OLB,15,6,1,1,4,4,0,1,4,0.1,0.3,100.00%,4,,,0,0,,,,,1,4,4,0,,GrugKa00
558,Duke Johnson,BUF,29,RB,1,0,,,,,0,0,,,,,,2,4,0,1,4,2,4,2,2,2,4,0,,JohnDu00
559,Richard Rodgers,LAC,30,TE,10,1,4,1,4,4,0,0,4,0.1,0.4,25.00%,1,,,0,0,,,,,1,4,4,0,,RodgRi00
560,Nick Bellore,SEA,33,LB,16,0,,,,,0,0,,,,,,1,3,0,0,3,3,0.2,0.1,1,3,3,0,,BellNi01
561,Erik Ezukanma,MIA,22,WR,1,0,1,1,3,3,0,0,3,1,3,100.00%,3,,,0,0,,,,,1,3,3,0,,EzukEr00
562,Joe Flacco,NYJ,37,QB,5,4,0,0,-3,,0,0,0,0,-0.6,0.00%,,3,6,0,1,7,2,1.2,0.6,3,1,3,0,5,FlacJo00
563,Josh Johnson,SFO,36,QB,2,0,,,,,0,0,,,,,,2,3,0,0,4,1.5,1.5,1,2,1.5,3,0,,JohnJo05
564,Mason Kinsey,TEN,24,WR,2,0,1,1,3,3,0,0,3,0.5,1.5,100.00%,3,,,0,0,,,,,1,3,3,0,1,KinsMa00
565,Gardner Minshew II,PHI,26,QB,5,2,,,,,0,0,,,,,,7,3,1,1,3,0.4,0.6,1.4,7,0.4,3,1,4,MinsGa00
566,M.J. Stewart,HOU,27,DB,17,0,,,,,0,0,,,,,,1,3,0,1,3,3,0.2,0.1,1,3,3,0,,StewM.00
567,Sean Chandler,CAR,26,S,17,0,,,,,0,0,,,,,,1,2,0,1,2,2,0.1,0.1,1,2,2,0,,ChanSe00
568,Ashtyn Davis,NYJ,26,S,14,0,,,,,0,0,,,,,,1,2,0,1,2,2,0.1,0.1,1,2,2,0,,DaviAs00
569,Cody White,PIT,24,WR,1,1,1,1,2,2,0,0,2,1,2,100.00%,2,,,0,0,,,,,1,2,2,0,,WhitCo05
570,Damien Williams,ATL,30,RB,1,1,,,,,0,0,,,,,,2,2,0,0,2,1,2,2,2,1,2,0,,WillDa05
571,Jordan Howard,NOR,28,RB,2,0,,,,,0,0,,,,,,1,1,0,0,1,1,0.5,0.5,1,1,1,0,,HowaJo00
